,stationid,row,col,arcid,origin
556,FI_0000054,3624,12829,7546,mmprocessedstation
557,FI_0000055,3633,12797,7546,mmprocessedstation
558,2998800,3713,47790,7815,mmprocessedstation
559,FI_0000057,3732,12225,8088,mmprocessedstation
560,RU_0000095,3735,42813,8330,mmprocessedstation
561,NO_0000120,3742,9769,8068,mmprocessedstation
562,2998720,3806,44677,8346,mmprocessedstation
563,2998702,3812,45400,8352,mmprocessedstation
564,RU_0000469,3843,13890,8667,mmprocessedstation
565,FI_0000051,3856,11677,8649,mmprocessedstation
566,NO_0000124,3875,9719,8632,mmprocessedstation
567,RU_0000234,3918,13979,8668,mmprocessedstation
568,RU_0000468,3937,13463,8664,mmprocessedstation
569,RU_0000392,3942,38012,8861,mmprocessedstation
570,NO_0000156,3951,9569,8631,mmprocessedstation
571,2998500,3984,42877,9474,mmprocessedstation
572,NO_0000200,4008,9502,9205,mmprocessedstation
573,SE_0000090,4025,11603,9222,mmprocessedstation
574,SE_0000089,4035,11660,9223,mmprocessedstation
575,6971451,4049,15519,9255,mmprocessedstation
576,2999500,4075,24764,9323,mmprocessedstation
577,RU_0000457,4078,18270,9271,mmprocessedstation
578,RU_0000236,4090,13288,9811,mmprocessedstation
579,RU_0000467,4111,13407,9812,mmprocessedstation
580,6971150,4150,14237,9819,mmprocessedstation
581,RU_0000081,4172,21962,9880,mmprocessedstation
582,RU_0000104,4174,25744,9910,mmprocessedstation
583,RU_0000230,4194,15730,9832,mmprocessedstation
584,NO_0000113,4215,9324,10380,mmprocessedstation
585,RU_0000476,4217,17577,10449,mmprocessedstation
586,6233785,4220,11204,10396,mmprocessedstation
587,RU_0000133,4221,14782,10426,mmprocessedstation
588,NO_0000152,4223,9156,10379,mmprocessedstation
589,FI_0000095,4230,13035,10411,mmprocessedstation
590,NO_0000151,4259,9847,10385,mmprocessedstation
591,SE_0000037,4287,11477,10398,mmprocessedstation
592,SE_0000087,4291,11593,10399,mmprocessedstation
593,NO_0000115,4297,9144,10379,mmprocessedstation
594,IS_0000001,4315,2050,10371,mmprocessedstation
595,6233780,4315,11271,10396,mmprocessedstation
596,NO_0000117,4325,9014,10987,mmprocessedstation
597,SE_0000036,4328,11769,11010,mmprocessedstation
598,RU_0000442,4337,22520,11090,mmprocessedstation
599,6731610,4343,9186,10988,mmprocessedstation
600,6233755,4358,11086,11004,mmprocessedstation
601,6233520,4380,9693,10992,mmprocessedstation
602,FI_0000094,4399,12014,11012,mmprocessedstation
603,RU_0000455,4399,15700,11033,mmprocessedstation
604,FI_0000093,4409,12062,11012,mmprocessedstation
605,IS_0000020,4410,2114,10977,mmprocessedstation
606,2909705,4410,27602,11133,mmprocessedstation
607,6731601,4411,9188,10988,mmprocessedstation
608,2999200,4418,23434,11098,mmprocessedstation
609,6233680,4429,10198,10996,mmprocessedstation
610,6731600,4441,9411,11574,mmprocessedstation
611,2901201,4450,47511,11881,mmprocessedstation
612,RU_0000449,4469,14203,11609,mmprocessedstation
613,6401200,4480,1416,11557,mmprocessedstation
614,RU_0000237,4500,13445,11603,mmprocessedstation
615,FI_0000050,4514,12097,11591,mmprocessedstation
616,RU_0000115,4549,16434,11622,mmprocessedstation
617,IS_0000021,4557,2088,11563,mmprocessedstation
618,RU_0000477,4571,14309,12187,mmprocessedstation
619,RU_0000416,4572,29735,12313,mmprocessedstation
620,RU_0000451,4576,14275,12186,mmprocessedstation
621,NO_0000163,4579,9244,12150,mmprocessedstation
622,RU_0000443,4585,24618,12271,mmprocessedstation
623,NO_0000164,4586,9339,12150,mmprocessedstation
624,RU_0000450,4612,13717,12182,mmprocessedstation
625,RU_0000249,4614,18283,12218,mmprocessedstation
626,RU_0000240,4631,14352,12187,mmprocessedstation
627,6401080,4632,858,12128,mmprocessedstation
628,FI_0000127,4643,12869,12175,mmprocessedstation
629,FI_0000086,4648,11904,12167,mmprocessedstation
630,6854591,4664,12426,12171,mmprocessedstation
631,RU_0000220,4672,15499,12195,mmprocessedstation
632,RU_0000394,4680,40039,12969,mmprocessedstation
633,RU_0000395,4686,40043,12969,mmprocessedstation
634,6731555,4688,8893,12714,mmprocessedstation
635,RU_0000396,4692,40640,12974,mmprocessedstation
636,FI_0000085,4719,11852,12735,mmprocessedstation
637,RU_0000239,4738,14498,12757,mmprocessedstation
638,RU_0000440,4738,20627,12807,mmprocessedstation
639,FI_0000121,4745,11771,12735,mmprocessedstation
640,6854590,4749,13097,12746,mmprocessedstation
641,RU_0000238,4756,13775,12751,mmprocessedstation
642,6233470,4781,9384,12718,mmprocessedstation
643,FI_0000084,4803,11701,13291,mmprocessedstation
644,6401090,4811,962,13253,mmprocessedstation
645,RU_0000135,4818,14700,13316,mmprocessedstation
646,RU_0000109,4843,15235,13320,mmprocessedstation
647,IS_0000007,4848,1092,13254,mmprocessedstation
648,6233460,4862,9121,13272,mmprocessedstation
649,RU_0000219,4868,15504,13323,mmprocessedstation
650,NO_0000144,4882,8912,13270,mmprocessedstation
651,RU_0000474,4885,14969,13318,mmprocessedstation
652,RU_0000456,4886,18930,13351,mmprocessedstation
653,IS_0000002,4914,1311,13255,mmprocessedstation
654,FI_0000081,4923,11696,13836,mmprocessedstation
655,6233700,4934,10389,13827,mmprocessedstation
656,FI_0000082,4935,11871,13837,mmprocessedstation
657,NO_0000146,4949,8806,13814,mmprocessedstation
658,FI_0000078,4950,11448,13834,mmprocessedstation
659,2903600,4968,37681,14053,mmprocessedstation
660,6731501,5010,8457,13811,mmprocessedstation
661,FI_0000122,5020,11248,13832,mmprocessedstation
662,6855280,5028,12126,13840,mmprocessedstation
663,FI_0000028,5042,11203,14364,mmprocessedstation
664,RU_0000453,5045,18199,14422,mmprocessedstation
665,RU_0000207,5062,14266,14389,mmprocessedstation
666,RU_0000208,5106,14251,14389,mmprocessedstation
667,6233555,5111,9855,14357,mmprocessedstation
668,6233550,5120,9908,14357,mmprocessedstation
669,SE_0000011,5130,8908,14349,mmprocessedstation
670,FI_0000125,5131,11152,14363,mmprocessedstation
671,NO_0000130,5139,7904,14340,mmprocessedstation
672,FI_0000079,5150,11673,14368,mmprocessedstation
673,NO_0000132,5152,7591,14338,mmprocessedstation
