grdc/arcid,row,col,arcid
NO_0000164,4586,9339,-99
RU_0000450,4612,13717,-99
RU_0000249,4614,18283,-99
6233690,4620,11004,-99
6970400,4628,16434,-99
RU_0000240,4631,14352,-99
6401080,4632,858,-99
FI_0000127,4643,12869,-99
FI_0000086,4648,11904,-99
6854591,4664,12426,-99
RU_0000220,4672,15499,-99
RU_0000394,4680,40039,-99
RU_0000395,4686,40043,-99
6731555,4688,8893,-99
RU_0000396,4692,40640,-99
FI_0000085,4719,11852,-99
RU_0000239,4738,14498,-99
RU_0000440,4738,20627,-99
FI_0000121,4745,11771,-99
6854590,4749,13097,-99
RU_0000238,4756,13775,-99
6970250,4761,16055,-99
6233470,4781,9384,-99
FI_0000084,4803,11701,-99
6401090,4811,962,-99
RU_0000135,4818,14700,-99
6233502,4832,10817,-99
RU_0000109,4843,15235,-99
IS_0000007,4848,1092,-99
6233460,4862,9121,-99
RU_0000219,4868,15504,-99
NO_0000144,4882,8912,-99
RU_0000474,4885,14969,-99
RU_0000456,4886,18930,-99
IS_0000002,4914,1311,-99
FI_0000081,4923,11696,-99
6233700,4934,10389,-99
FI_0000082,4935,11871,-99
NO_0000146,4949,8806,-99
FI_0000078,4950,11448,-99
2903600,4968,37681,-99
6233650,4997,10145,-99
6731501,5010,8457,-99
FI_0000122,5020,11248,-99
6855280,5028,12126,-99
FI_0000028,5042,11203,-99
RU_0000453,5045,18199,-99
RU_0000207,5062,14266,-99
6855401,5094,13236,-99
RU_0000208,5106,14251,-99
6233555,5111,9855,-99
6233550,5120,9908,-99
SE_0000011,5130,8908,-99
FI_0000125,5131,11152,-99
NO_0000130,5139,7904,-99
6855402,5146,12667,-99
FI_0000079,5150,11673,-99
NO_0000132,5152,7591,-99
6233401,5154,10173,-99
FI_0000135,5154,12247,-99
RU_0000003,5174,45846,-99
RU_0000376,5175,42567,-99
RU_0000206,5180,14628,-99
6233551,5192,10069,-99
FI_0000021,5213,11764,-99
FI_0000126,5221,11179,-99
RU_0000245,5221,16241,-99
FI_0000010,5234,12096,-99
RU_0000372,5250,41632,-99
RU_0000375,5257,42160,-99
NO_0000046,5263,7550,-99
RU_0000389,5267,36942,-99
RU_0000390,5274,34471,-99
6731175,5301,7462,-99
FI_0000068,5302,11531,-99
RU_0000373,5305,41377,-99
FI_0000047,5314,11738,-99
6731455,5321,8222,-99
6970705,5321,19640,-99
FI_0000070,5352,11464,-99
RU_0000209,5363,14068,-99
NO_0000066,5372,7478,-99
RU_0000221,5384,15184,-99
FI_0000066,5403,11660,-99
FI_0000025,5430,11395,-99
6731165,5439,7407,-99
6731450,5439,8462,-99
FI_0000065,5441,11699,-99
6233205,5445,9121,-99
RU_0000212,5446,13794,-99
FI_0000016,5449,11334,-99
6731160,5459,7294,-99
6233221,5468,10098,-99
FI_0000075,5470,11220,-99
NO_0000068,5486,7184,-99
RU_0000478,5487,19007,-99
RU_0000384,5501,36890,-99
NO_0000069,5504,7567,-99
RU_0000211,5507,13990,-99
RU_0000325,5524,19737,-99
NO_0000070,5527,7268,-99
RU_0000144,5533,14228,-99
RU_0000382,5560,35029,-99
RU_0000216,5568,12839,-99
RU_0000205,5579,14628,-99
RU_0000215,5591,12943,-99
NO_0000006,5604,8733,-99
6731530,5607,8886,-99
FI_0000137,5611,12630,-99
6731200,5612,7505,-99
RU_0000387,5616,38400,-99
6233201,5623,10184,-99
RU_0000472,5630,15488,-99
RU_0000303,5634,15021,-99
RU_0000434,5637,23764,-99
RU_0000241,5643,15728,-99
RU_0000204,5647,14363,-99
RU_0000383,5655,35825,-99
RU_0000243,5667,16592,-99
6731140,5673,7617,-99
NO_0000106,5673,8814,-99
NO_0000074,5676,7321,-99
6731402,5699,8802,-99
6731150,5700,7305,-99
FI_0000046,5705,11996,-99
RU_0000445,5706,20500,-99
RU_0000380,5727,34037,-99
RU_0000213,5728,13203,-99
NO_0000210,5762,8591,-99
RU_0000203,5779,14183,-99
RU_0000301,5785,14643,-99
6731310,5788,8377,-99
RU_0000433,5788,25656,-99
6972430,5799,13327,-99
NO_0000047,5803,7404,-99
RU_0000191,5824,12911,-99
6731130,5835,7443,-99
RU_0000202,5836,13991,-99
6731403,5847,8676,-99
RU_0000388,5848,36516,-99
6731400,5853,8668,-99
6731350,5867,8609,-99
RU_0000452,5896,15652,-99
6972350,5906,12768,-99
RU_0000431,5911,25879,-99
RU_0000302,5935,15118,-99
RU_0000341,5946,17494,-99
RU_0000432,5947,24772,-99
RU_0000446,5957,20524,-99
RU_0000188,5968,13592,-99
RU_0000242,5971,15520,-99
RU_0000414,5971,28435,-99
RU_0000333,5992,18775,-99
RU_0000334,5998,19117,-99
NO_0000035,6001,7994,-99
RU_0000385,6005,36305,-99
NO_0000039,6009,7662,-99
NO_0000040,6015,7629,-99
RU_0000299,6019,14647,-99
RU_0000300,6022,14251,-99
6229100,6028,8769,-99
6972400,6035,13175,-99
6731280,6037,7943,-99
RU_0000340,6048,18575,-99
SE_0000020,6049,9433,-99
NO_0000089,6059,8044,-99
RU_0000210,6076,13867,-99
6229120,6087,8722,-99
6972250,6088,12811,-99
6229130,6089,8809,-99
NO_0000082,6095,7528,-99
NO_0000042,6122,7626,-99
6604960,6125,5063,-99
RU_0000306,6125,16420,-99
6972050,6128,11945,-99
RU_0000201,6137,14296,-99
6731250,6143,7733,-99
6229530,6153,9348,-99
RU_0000305,6156,15789,-99
2909700,6176,32022,-99
6229140,6181,8864,-99
RU_0000193,6234,13915,-99
RU_0000304,6243,15140,-99
6604950,6248,4871,-99
RU_0000196,6263,13402,-99
2908305,6282,28636,-99
6604100,6297,4656,-99
RU_0000308,6308,16139,-99
RU_0000298,6323,14735,-99
RU_0000378,6328,31944,-99
6604860,6334,5124,-99
6604880,6347,4910,-99
6604650,6347,5246,-99
RU_0000336,6348,18735,-99
6604850,6350,5401,-99
6604890,6352,4832,-99
6604840,6353,5559,-99
6934300,6372,8431,-99
6604150,6375,4697,-99
RU_0000326,6403,19975,-99
6604655,6407,5112,-99
6233100,6422,8955,-99
6604830,6427,5475,-99
RU_0000342,6430,18241,-99
6233360,6444,9945,-99
6972300,6455,13015,-99
6604820,6461,5440,-99
6604815,6464,5261,-99
6604800,6467,5376,-99
6233350,6476,9878,-99
DK_0000001,6478,8406,-99
6973010,6486,11275,-99
6934460,6502,8405,-99
6934050,6505,8036,-99
GB_0000188,6522,4778,-99
RU_0000075,6523,22951,-99
RU_0000195,6532,13423,-99
6604620,6535,5401,-99
6604160,6536,4602,-99
6233150,6547,9149,-99
6604601,6552,5106,-99
6604600,6562,5118,-99
6604605,6572,5045,-99
RU_0000309,6590,16584,-99
6604610,6596,5187,-99
6233170,6601,9241,-99
